review_score,review_comment_message,review_creation_date,label,processed_review_comment
5,"Postagem ultra rápida, bem mais ágil que a própria lannister. O produto chegou em prefeitas condições e tudo de acordo. Super recomendado.",2017-12-03 00:00:00,1,"postagem ultra rápido , bem ágil próprio lannister . produto chegar prefeita condição tudo acordo . super recomendar ."
5,"Produto com preço bom, todo processo de compra foi excelente.",2018-05-11 00:00:00,1,"produto preço bom , todo processo comprar excelente ."
5,Muito bom. Super indico e com cereteza vou fazer outros pedidos,2018-06-29 00:00:00,1,bom . super indico cereteza ir fazer outro pedido
1,"A embalagem do perfume é original, mas a essência não. Uso o Vezzo a mais de 10 anos. O produto que recebi é pirata. Vou atrás dos meus direitos de consumidora. Quero o perfume certo ou meu dinheiro.",2018-08-14 00:00:00,0,"embalagem perfume original , essência não . uso vezzo 10 ano . produto recebir pirata . vou atrás direito consumidor . querer perfume certo dinheiro ."
1,"Não entregou o produto, confiou aos correios e não fez nenhum contato para saber da situação...",2018-03-16 00:00:00,0,"não entregar produto , confiar correio não fazer nenhum contato saber situação ..."
5,A entrega foi realizada muito antes do prazo informado! ,2018-04-28 00:00:00,1,entregar realizar antes prazo informar !
5,Muito bom,2018-05-22 00:00:00,1,bom
1,Me entregaram FALTANDO um vidro de perfume,2018-03-01 00:00:00,0,entregar faltar vidro perfume
5,Cegou antes do prazo👏🏼👏🏼👏🏼,2018-02-20 00:00:00,1,cegar antes prazo 👏 🏼 👏 🏼 👏 🏼
5,Otimo comprar por este site as mercadorias chegam antes do prazo determinado.,2017-11-11 00:00:00,1,otimo comprar site mercadoria chegar antes prazo determinar .
5,"chegou antes do esperado, mesmo com a greve.
embalagem perfeita para presente e nem solicitei.",2018-06-05 00:00:00,1,"chegar antes esperar , Greve . embalagem perfeitir presente solicitei ."
5,O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,2017-12-03 00:00:00,1,produto exatamente esperar descrito site chegar bem antes data prever .
5,a loja cumpre o prazo. o produto serviu pra o que foi adquirido.,2018-01-06 00:00:00,1,loja cumprir prazo . produto servir pra adquirir .
1,"Não gostei de receber item por item, já que se trata do mesmo produto. Preciso de 4, comprei 4 e vou receber separadamente, péssimo!",2018-04-12 00:00:00,0,"não gostar receber item item , tratar produto . preciso 4 , compr 4 ir receber separadamente , péssimo !"
1,ainda aguardo o envio do meu produto. Está em atraso.,2018-03-21 00:00:00,0,ainda aguardo envio produto . atraso .
5,Até hoje ainda na tive problemas com compras nas lojas lannister. Muito boa compra.,2018-06-09 00:00:00,1,hoje ainda problema compra lojo lannister . bom compra .
5,Tudo ok,2017-03-28 00:00:00,1,tudo ok
5,"Satisfeito com produto, preço, prazo de entrega",2018-02-07 00:00:00,1,"satisfeito produto , preço , prazo entregar"
1,Prefiro nem comentários ,2017-06-02 00:00:00,0,prefiro comentário
5,Entrega antes do prazo combinado. Ótimo,2017-06-09 00:00:00,1,entregar antes prazo combinar . bom
1,"Comprei dois pneus, paguei dois pneus, pedido efetuado e pago de dois pneus. Recebi em casa nota fiscal referente aos dois pneus, mas só um pneu dentro da embalagem.
Aguardo posicionamento à respeito",2017-06-08 00:00:00,0,"comprar dois pneu , paguei dois pneu , pedir efetuado pagar dois pneu . recebir casa nota fiscal referente dois pneu , pneu dentro embalagem . aguardo posicionamento respeito"
5,Entrega rapida e produto show ,2017-08-31 00:00:00,1,entregar rapir produto show
5,Perfeito ,2017-08-05 00:00:00,1,perfeito
1,Houve avaria na embalagem. O produto foi para outro destino antes deste. A foto do produto não confere com o que recebi. O produto parece funcionar. Ainda não encontrei um aplicativo para testar,2018-01-05 00:00:00,0,avario embalagem . produto outro destino antes de este . foto produto não conferir recebi . produto parecer funcionar . ainda não encontr aplicativo testar
5,Entrega antes do prazo,2017-10-21 00:00:00,1,entregar antes prazo
5,18/06 já tinha sido entregue,2017-06-20 00:00:00,1,18/06 ser entregar
5,"Produto foi entregue corretamente e muito rápido, recomendo ",2017-08-05 00:00:00,1,"produto entregar corretamente rápido , recomer"
1,"O mini scanner não esta funcionando, preciso fazer a troca do produto",2018-08-01 00:00:00,0,"mini scanner não funcionar , preciso fazer troca produto"
5,Muito bom!!!,2017-04-19 00:00:00,1,bom ! ! !
5,"excelente serviço, entregaram o produto antes do prazo.",2017-08-15 00:00:00,1,"excelente serviço , entregar produto antes prazo ."
5,Muito bom ,2017-09-15 00:00:00,1,bom
5,O produto foi entregue no prazo e em excelente condições,2017-02-24 00:00:00,1,produto entregar prazo excelente condição
5,Produto muito bom para pequenos diagnósticos do veiculo. recomendo...,2018-07-05 00:00:00,1,produto bom pequeno diagnóstico veiculo . recomendar ...
5,Testei o scanner no meu jetta 2007 e deu tudo certo achei os defeitos que o carro tava representando ..ótimo produto recomendo ...,2017-08-02 00:00:00,1,testar scanner jetta 2007 dar tudo certo achar defeito carro tar representar .. bom produto recomer ...
1,"O CD que acompanha o produto veio rachado mesmo com a embalagem lacrada. Estou tentando efetuar a troca desde do dia da entrega, e nunca consegui e pelo visto não vou conseguir. Não recomendo.",2018-07-20 00:00:00,0,"cd acompanhar produto vir rachar embalagem lacrar . tentar efetuar troco desde dia entregar , nunca conseguir ver não ir conseguir . não recomendar ."
5,As almofadas são lindas e divertidas ,2017-02-22 00:00:00,1,almofar linda divertido
1,Não responde as solicitações de atendimento.,2018-04-14 00:00:00,0,não responder solicitação atendimento .
1,Aguardando retorno da loja,2017-05-30 00:00:00,0,aguardar retorno loja
5,muito bons,2017-11-01 00:00:00,1,bom
1,"não recomendo porque até o momento não recebi meu produto,nem tive nenhuma informação da empresa responsavél",2017-07-22 00:00:00,0,"não recomendar porque momento não recebir produto , nenhum informação empresa responsavél"
5,Recebi bem antes do prazo e o produto chegou perfeito! Recomendo.,2017-07-26 00:00:00,1,recebir bem antes prazo produto chegar perfeito ! recomendar .
1,A Entrega veio pwla metade,2017-10-24 00:00:00,0,entregar vir pwla metade
5,"Produto muito bom, entregue antes do prazo.",2018-02-18 00:00:00,1,"produto bom , entregar antes prazo ."
5,Otimo muito bom,2017-10-25 00:00:00,1,otimo bom
5,"Comprem sem erro mto bom mesmo
",2017-11-25 00:00:00,1,compr erro mto bom
5,excelente.,2018-01-10 00:00:00,1,excelente .
1,FICAMOS ESPERANDO UMA ENCOMENDA PAGA QUE NUNCA CHEGOU E AINDA NÃO FOI EXTORNADO O VALOR DA COMPRA,2017-11-09 00:00:00,0,ficar esperar encomenda pagar nunca chegar ainda não extornar valor compra
5,"Recebi tudo certo, porem veio trincada a cuba , preciso da troca com urgencia.",2017-06-01 00:00:00,1,"recebi tudo certo , por vir trincar cuba , preciso troca urgencio ."
5,Chegou em 5 dias... super rápido! ,2017-05-24 00:00:00,1,chegar 5 dia ... super rápido !
5,Bom,2017-12-21 00:00:00,1,bom
5,Produto de qualidade e entrega antes do prazo,2017-11-15 00:00:00,1,produto qualidade entregar antes prazo
5,"entregou bem antes do prazo, produto de excelente qualidade, super recomendo.",2017-08-10 00:00:00,1,"entregar bem antes prazo , produto excelente qualidade , super recomendar ."
1,atrasou 13 dias minha entrega suporte 0%,2017-04-28 00:00:00,0,atrasar 13 dia Entrega suporte 0 %
5,"Chegou perfeita, super recomendo",2017-10-12 00:00:00,1,"chegar perfeito , super recomer"
5,Ótima compra.. Qualidade excelente e o valor melhor ainda .. Recomendo ,2017-05-30 00:00:00,1,ótimo compra .. qualidade excelente valor melhor ainda .. recomer
5,muito sastifeita,2018-02-28 00:00:00,1,sastifeitar
5,Chegou antes do combinado bem embalada em perfeitas condições já conheço a Américas confio de mas . E super recomendo o site da Cuba. Amei ,2017-04-12 00:00:00,1,chegar antes combinar bem embalar perfeito condição conheço américa Confio . super recomer site cuba . ameir
5,"Produto entregue em perfeito estado e bem antes do prazo estipulado pra,a entrega",2017-08-04 00:00:00,1,"produto entregar perfeito estar bem antes prazo estipular pra , entregar"
5,ótimo produto e chegou em perfeitas condições. nota 10.,2017-09-13 00:00:00,1,bom produto chegar perfeito condição . nota 10 .
5,"ainda coloquei no lugar,porque é para minha futura casa, mas é muito bonita, só achei um pouco rasa, mas gostei muito, chegou super no prazo, como tudo do stark né!",2017-04-11 00:00:00,1,"ainda coloquei lugar , porque futurar casa , bonito , achar pouco rasa , gostar , chegar super prazo , tudo stark né !"
5,"Denis
",2017-06-01 00:00:00,1,denis
1,Olá bom dia já mandei dois imais para informar q ao abrir a caixa vi q meu produto estava quebrado e nem o retirei da caixa nem da embalagem pq gostaria de uma solução,2017-07-11 00:00:00,0,olá bom dia mandar dois imal informar q abrir caixa ver q produto quebrar retirar Caixa embalagem pq gostario solução
1,Preciso fazer o cancelamento dessa compra pois até agora nada foi entregue ,2018-05-09 00:00:00,0,preciso fazer cancelamento de esse compra pois agora nada entregar
5,"Produto lindo, chegou muito antes do previsto...SATISFEITA com a compra e com a loja",2017-06-20 00:00:00,1,"produto lir , chegar antes prever ... satisfazer compra loja"
5,Muito corretos e de confiança!,2017-05-27 00:00:00,1,correto confiança !
5,Melhor preço. Melhor prazo.,2017-12-28 00:00:00,1,bom preço . bom prazo .
5,Ótimo produto. Porém veio na ponta um pedacinho quebrado. Acredito que tenha cida na entrega. ,2017-05-30 00:00:00,1,bom produto . porém vir ponta pedacinho quebrar . acreditar cidar entrego .
5,Tudo correto! Obrigada,2017-07-08 00:00:00,1,tudo correto ! obrigar
1,Comprei a quase 1 mês e ainda não recebi o produto.,2017-05-28 00:00:00,0,comprar quase 1 mês ainda não recebir produto .
5,Excelente aquisicao,2017-05-11 00:00:00,1,excelente aquisicao
5,otimo,2017-03-15 00:00:00,1,otimo
5,"ENTREGA ANTES DO PRAZO, ORIGINAL E LACRADO",2017-05-31 00:00:00,1,"entregar antes prazo , original lacrar"
5,Bom,2017-07-09 00:00:00,1,bom
5,Muito rápido,2017-04-18 00:00:00,1,rápido
5,e muito bom vc compra e chega no dia certo ,2017-06-10 00:00:00,1,bom vc compra chegar dia certo
5,Otima loja.,2018-01-18 00:00:00,1,otimo loja .
5,Parabéns pela respeito ao consumidor ! ,2018-06-05 00:00:00,1,parabéns respeito consumidor !
5,Recomendo,2018-02-21 00:00:00,1,recomer
5,BOM,2017-12-12 00:00:00,1,bom
5,chegou antes do prazo de entrega e veio em perfeito estado !,2018-01-31 00:00:00,1,chegar antes prazo entregar vir perfeito estar !
5,"muito bom atendimento, como sempre",2017-12-02 00:00:00,1,"bom atendimento , sempre"
1,Infelizmente compensa pagar um pouco mais e comprar em loja física na sua cidade todas as lojas inclusive stark estão com péssimo prazo de entrega dos produtos!,2017-12-15 00:00:00,0,infelizmente compensa pagar pouco comprar loja físico cidade todo loja inclusive stark péssimo prazo entregar produto !
5,Obrigado pela atenção. Lojas lannister perfeito em tudo.,2018-07-03 00:00:00,1,obrigar atenção . loja lannister perfeito tudo .
5,Super rápido a entrega. Ficou surpresa com a rapidez.,2018-03-22 00:00:00,1,super rápido entregar . ficar surpresa rapidez .
1,O produto veio com defeito,2018-04-18 00:00:00,0,produto vir defeito
1,Não sei por que ainda não recebi minha mercadoria... ,2017-12-14 00:00:00,0,não saber ainda não recebir mercadoria ...
5,Satisfeita ,2017-10-17 00:00:00,1,satisfazer
5,"O produto é simples,de acordo com a imagem e com o preço pago.Obrigada.",2018-08-01 00:00:00,1,"produto simples , acordo imagemr preço pago.obrigada ."
5,Chegou bem rápido antes do prazo de entrega,2017-09-12 00:00:00,1,chegar bem rápido antes prazo entregar
1,"LOJA NÃO CONFIÁVEL, MEU PRODUTO NÃO FOI ENTREGUE.",2017-03-31 00:00:00,0,"loja não confiável , produto não entregar ."
1,Zero não entregaram e não dão satisfação! Vou devolver,2017-10-11 00:00:00,0,zero não entregar não dar satisfação ! ir devolver
1,NÃO RECEBI e NINGUEM da LOJA ME CONTATOU POR E-MAIL como prometido,2017-10-06 00:00:00,0,não recebir ninguem loja contatar e-mail prometer
1,Nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,2017-12-12 00:00:00,0,nao gostar produto pois vir detalhe acabamento sinal ja uzar
5,muito boa e correta no prazo,2017-10-10 00:00:00,1,bom correta prazo
1,"Mas uma vez a entrega está demorando muito, até agora não tenho nenhuma notícia do meu pacote ",2017-11-10 00:00:00,0,"vez entregar demorar , agora não nenhum notícia pacote"
5,Continui assim,2017-12-19 00:00:00,1,continui assim
1,Já fiz tal aviso com vocês e até agora nada,2017-12-07 00:00:00,0,fiz tal aviso agora nada
5,"Recebi o produto antes do prazo , não foi a tesoura que estava na foto , foi uma similar mais as tesouras são boas e em perfeitas condições., Recomendo .",2018-06-19 00:00:00,1,"recebir produto antes prazo , não tesourar foto , similar tesoura bom perfeito condição . , recomendar ."
5,"Entrega rápida, produto muito Bom!! Vale muito a pena; eu super recomendo. ",2017-07-15 00:00:00,1,"entregar rápido , produto bom ! ! valer pena ; super recomendar ."
1,"Peço providências urgentes, pois o produto consta nos Correios como entregue, no entanto eu NUNCA efetuei a retirada do mesmo. Continuo no aguardo de v.sas. Espero não ter que procurar meus direitos.",2017-10-27 00:00:00,0,"peçar providência urgente , pois produto constar Correios entregar , entanto nunca efetuei retirado . continuar aguardo v.sa . esperar não ter procurar direito ."
5,Entregou antes do esperado 🤗😍,2017-08-17 00:00:00,1,entregar antes esperar 🤗 😍
5,"Produto novo de excelente qualidade chegou tudo certinho, dentro do prazo",2017-12-14 00:00:00,1,"produto novo excelente qualidade chegar tudo certinho , dentro prazo"
5,"Primeiramente meus parabéns a loja targaryen que entregou o produto em menos de uma semana e em perfeito estado, produtos acima do esperado, muito bom mesmo, super recomendo!!!!!",2018-05-22 00:00:00,1,"primeiramente parabéns loja targaryen entregar produto menos semana perfeito Estado , produto acima esperar , bom , super recomendar ! ! ! ! !"
5,Parabéns ,2017-05-27 00:00:00,1,parabéns
1,Não teve o cuidado de envia a mercadoria de forma correta veio em um simples envelope.,2017-11-01 00:00:00,0,não cuidado enviar mercadoria forma correto vir simples envelope .
5,"Entrega antes mesmo do prazo, mercadoria excelente.",2018-01-14 00:00:00,1,"entregar antes prazo , mercadoria excelente ."
5,Entrega super Rápida e adorei as tesouras recomendo!,2017-12-29 00:00:00,1,entregar super rápir adorar tesoura recomendar !
5,Perfeito! Tudo como o esperado!,2017-12-27 00:00:00,1,perfeito ! tudo esperar !
5,Produto bom entrega no combinado estou muito satisfeito e recomendo. ,2017-10-31 00:00:00,1,produto bom entrega combinar satisfeito recomer .
1,"Não recomendo!!! Cancelei a compra, fui cobrada e não obtive NENHUM retorno da loja. Quero devolver e receber o extorno. ",2018-01-28 00:00:00,0,"não recomendar ! ! ! cancelei compra , cobrar não obtiver nenhum retorno loja . querer devolver receber extorno ."
5,Excelente qualidade.,2018-05-17 00:00:00,1,excelente qualidade .
5,Muito bom foi entregue bem antes do prazo,2017-07-11 00:00:00,1,bom entregar bem antes prazo
1,"Comprei duas tesouras fio navalha sendo uma desfiadera ,chegou tudo certo mais abri a maecadoria oque estava dentro era outro produto um navalhete e a nota fiscal estava toda errada tbm .quero cancela",2017-10-12 00:00:00,0,"comprar dois tesoura fio navalha ser desfiader , chegar tudo certo abri maecadorio oque dentro outro produto navalheter nota fiscal todo errar tbm .quero cancelar"
5,Produtos maravilhosos,2018-06-23 00:00:00,1,produto maravilhoso
5,"produto muito bom , adorei",2018-04-13 00:00:00,1,"produto bom , adorei"
5,Ótimo,2017-06-03 00:00:00,1,bom
1,"Comprei um kit de tesouras mas só chego uma.estou aguardando a resposta de vcs para sabe qd foi recebê o produto completo, pois peguei por 2 e não só por 1",2018-01-27 00:00:00,0,"comprar kit tesoura chegar uma.estar aguardar resposta vcs saber qd recebê produto completo , pois peguei 2 não 1"
1,Não gostei porque não chegou e está marcando que chegou ,2018-01-24 00:00:00,0,não gostar porque não chegar marcar chegar
5,Chegou bem antes do prazo e era exatamente o que esperava!,2017-08-24 00:00:00,1,chegar bem antes prazo exatamente esperar !
5,Produto de otima qualidade entregue antes do prazo.,2017-12-20 00:00:00,1,produto otimar qualidade entregar antes prazo .
5,"Chegou antes prazo, tudo certo e sem defeitos ",2017-09-22 00:00:00,1,"chegar antes prazo , tudo certo defeito"
5,"Recebi dentro do prazo estabelecido, produtos entregues em perfeito estado",2018-03-04 00:00:00,1,"recebir dentro prazo estabelecer , produto entregar perfeito estar"
5,Gostei,2018-03-10 00:00:00,1,gostar
1,"N recebi o produto ainda, o prazo era pra ate o dia 8 e hoge é 10, na espera",2018-06-10 00:00:00,0,"n recebi produto ainda , prazo pra ate dia 8 hoge 10 , esperar"
5,Produto top,2018-04-04 00:00:00,1,produto top
1,"Não recebi meu produto, veio um kit de pincéis com nota fiscal de outra pessoa. E até agora não tive um retorno. ",2017-07-14 00:00:00,0,"não recebir produto , vir kit pincéis nota fiscal outro pessoa . agora não retornar ."
5,Muito bom,2017-07-21 00:00:00,1,bom
5,"Comprei varias coisas pelo site das lannister, e nunca tive nenhum problema, sequer atrasos. 
Muito bom!!! ",2018-06-16 00:00:00,1,"comprar varia coisa sitar lannister , nunca nenhum problema , sequer atraso . bom ! ! !"
5,Excelente compra!,2018-01-23 00:00:00,1,excelente compra !
5,Produto chegou dentro do prazo e sem problemas.,2017-12-08 00:00:00,1,produto chegar dentro prazo problema .
5,"Chegou no prazo ,porém acho que n tinha o que eu pedi e veio outro modelo .Mas mesmo assim estou satisfeita ",2017-12-02 00:00:00,1,"chegar prazo , porém achar n pedir vir outro modelo .mas assim satisfazer"
5,"Produto chegou no prazo, ótimo produto.",2018-01-05 00:00:00,1,"produto chegar prazo , bom produto ."
1,Recebi o produto diferente da foto e faltando uma tesoura.E ninguém até agora resolveu para mim! Não recomendo! Não comprem!,2017-10-26 00:00:00,0,recebir produto diferente foto faltar tesoura.e ninguém agora resolver eu ! não recomendar ! não compr !
5,"Gosto muito de comprar nas Américas compromisso e seriedade com seus clientes, parabéns ",2017-10-21 00:00:00,1,"gostar comprar américa Compromisso seriedade cliente , parabéns"
1,Favor responder a tesoura de desfiar veio com defeito preciso trocar,2017-11-07 00:00:00,0,favor responder tesoura desfiar vir defeito preciso trocar
5,E muito rápida parabéns ,2017-12-22 00:00:00,1,rápido parabéns
5,"Entrega na data correta, super recomendo!",2017-12-30 00:00:00,1,"entregar data correto , super recomendar !"
5,Amei e super recomendo,2017-07-29 00:00:00,1,amei super recomer
5,recebí de acordo com o anunciado! ,2018-04-27 00:00:00,1,recebí acordo anunciar !
1,O produto veio errado e ainda não me retornaram para fazer a troca.,2018-03-24 00:00:00,0,produto vir errar ainda não retornar fazer troca .
5,"muito satisfeito com a compra e o prazo de entrega, indicarei a loja para outras pessoas.",2018-01-16 00:00:00,1,"satisfeito compra prazo entregar , indicarar loja outro pessoa ."
5,Muito bom,2018-06-28 00:00:00,1,bom
1,"Meu produto não foi entregue e tive que retirar no correio,quero o ressarcimento do frete por favor. Obrigado ",2017-05-23 00:00:00,0,"produto não entregar retirar correio , querer ressarcimento frete favor . obrigar"
5,Muito bom!!!! Adorei!!!,2017-12-21 00:00:00,1,bom ! ! ! ! adorar ! ! !
1,Espero uma Satisfação por que não foi entregue até hoje.obrigado Simone,2018-03-10 00:00:00,0,esperar satisfação não entregar hoje.obrigar simone
5,Bom,2018-02-06 00:00:00,1,bom
5,"Produto de qualidade, entrega antes do prazo.
Acompanha brinde de uma carteira para guardar as tesouras e chave de aperto. Superou as espectativas.",2018-04-13 00:00:00,1,"produto qualidade , entregar antes prazo . acompanhar brinde carteiro guardar tesoura chave aperto . superar espectativa ."
1,Chegou meu pedido incompleto ,2017-12-14 00:00:00,0,chegar pedido incompleto
5,ótimo produto entregue antes do prazo,2017-06-29 00:00:00,1,bom produto entregar antes prazo
1,"Estou super chateada com as Lojas Americana,pois fiz meu pedido mês passado e até hj não me entregaram e a entrega era até o dia 07/05.",2018-05-09 00:00:00,0,"super chatear loja americano , pois fiz pedir mês passado hj não entregar entregar dia 07/05 ."
5,Tudo certo ,2017-09-09 00:00:00,1,tudo certo
5,Exelente atendimento e entrega antes do prazo. Eu recomendo!,2017-10-06 00:00:00,1,exelente atendimento entregar antes prazo . recomendo !
5,Exelente atendimento e entrega antes do prazo. Eu recomendo!,2017-10-03 00:00:00,1,exelente atendimento entregar antes prazo . recomendo !
5,"adorei comprar nesta loja e vou comprar mais vezes
",2018-04-14 00:00:00,1,adorar comprar em este loja ir comprar vez
5,"Chegou antes do prazo, e veio tudo certinho.. ",2018-06-20 00:00:00,1,"chegar antes prazo , vir tudo certinho .."
5,Muito satisfeito,2017-12-12 00:00:00,1,satisfeito
1,"Comprei um quite de tesouras fio navalha, mas não recebi o modelo que foi escolhido pelo site",2018-03-01 00:00:00,0,"comprar quitir tesoura fio navalha , não recebir modelo escolher site"
5,"Produto de otima qualidade, recomendo. Entrega foi bem rapida tbm.",2018-07-27 00:00:00,1,"produto otimar qualidade , recomer . entregar bem rapir tbm ."
5,"Gostei muito da rapidez da entrega do produto, do atendimento eu indicaria sim.",2018-08-25 00:00:00,1,"gostar rapidez Entrega produto , atendimento indicar sim ."
5,Produto exelente ..loja competente,2018-06-06 00:00:00,1,produto exelente .. loja competente
5,Recebi antes do esperado produto de ótima qualidade !! Recomendo a quem que economiza e te algo de Boa qualidade e no praso certo.,2018-05-04 00:00:00,1,recebir antes esperar produto ótimo qualidade ! ! recomendo economizar algo bom qualidade prasar certo .
1,Comprei 2produtos e só recebi 1 estou aguardando e ate agora ja tentei entrar em contato e nada ainda,2017-09-05 00:00:00,0,comprar 2produtos recebir 1 aguardar ate agora ja tentar entrar contato nada ainda
5,recebi no prazo certo recomendo o vendedor,2018-06-21 00:00:00,1,recebir prazo certo recomendo vendedor
5,"Rápida entrega
Produto de qualidade",2018-06-26 00:00:00,1,rápido entregar produto qualidade
5,"Super recomendo a loja chegou além do prazo previsto muito bom 
",2018-02-08 00:00:00,1,super recomendar loja chegar além prazo previsto bom
5,Muito boa as tesouras sao otimas corte preciso ,2017-07-05 00:00:00,1,bom tesoura sao otima corte preciso
5,Ótimo,2018-05-16 00:00:00,1,bom
5,"Amei o produto super recomendo
",2018-06-13 00:00:00,1,ameir produto super recomer
5,nota 10,2018-07-28 00:00:00,1,nota 10
5,Muito boa recomendo a todos profissionais,2017-08-12 00:00:00,1,bom recomendo todo profissional
5,"Ótimo vendedor. Chegou o produto combinado, com ótima qualidade.
Chegou antes da data prevista.",2017-09-06 00:00:00,1,"bom vendedor . chegar produto combinar , ótimo qualidade . chegar antes data prever ."
5,"Produto muito bom , recebi bem antes do prazo , gostei muito e recomendo.",2017-09-27 00:00:00,1,"produto bom , recebir bem antes prazo , gostar recomer ."
1,Quero meu dinheiro de volta ,2018-03-09 00:00:00,0,querer dinheiro voltar
5,Bom produto,2018-01-09 00:00:00,1,bom produto
5,"Entrega rápida , produto de qualidade!",2017-05-17 00:00:00,1,"entregar rápido , produto qualidade !"
1,"As tesouras vieram tortas, cor diferente da divulgada na compra. ",2017-10-26 00:00:00,0,"tesoura vier torta , cor diferente divulgar compra ."
5,Produto de Boa Qualidade.,2018-03-24 00:00:00,1,produto bom qualidade .
5,"produto de ótima qualidade, acompanhado por um estojo lindo, recomendo.",2018-01-31 00:00:00,1,"produto ótimo qualidade , acompanhar estojo lir , recomer ."
5,chegou mesmo com muita segurança,2018-02-16 00:00:00,1,chegar muito segurança
5,"Chegou antes do prazo,unico ponto negativo é que a imagem da foto é dourada e veio em inox !fora isso recomendo.",2017-03-21 00:00:00,1,"chegar antes prazo , unico ponto negativo imagem foto dourar vir inox ! recomendar ."
5,"Produto de boa qualidade, recomendo...",2017-09-27 00:00:00,1,"produto bom qualidade , recomer ..."
5,O produto chegou até antes do prazo estipulado pelo vendedor. ,2017-11-04 00:00:00,1,produto chegar antes prazo estipular vendedor .
5,Gostei muito ,2018-07-03 00:00:00,1,gostar
5,É uma ótima loja para compra vocês estão de parabéns,2018-06-19 00:00:00,1,ótimo loja compra parabéns
1,"novamente propaganda enganosa! comprei tesouras de outro modelo, outra cor, é o fim da irresponsabilidade tercerizar empresas onde não tem controle nenhum, é um desrespeito isso.",2018-04-12 00:00:00,0,"novamente propaganda enganoso ! comprar tesoura outro modelo , outro cor , fim irresponsabilidade tercerizar empresa onde não controle nenhum , desrespeito ."
5,Entregue antes do prazo. Recomendo,2017-08-22 00:00:00,1,entregar antes prazo . recomendar
1,"ainda aquardando o produto não entregue.
causando danos ao meu trabalho !!! lamentavel e ""cabe processo""",2017-12-20 00:00:00,0,ainda aquardar produto não entregar . causar dano trabalho ! ! ! lamentavel ` ` caber processo ''
1,Não entregou o produto,2018-03-10 00:00:00,0,não entregar produto
